['Time', 'Result', 'Bet', 'Lose Streak', 'Martingale Base', 'Martingale Growth', 'Martingale', type, prob, strategy, moeda, caixa, profit, min_profit]
[datetime.datetime(2022, 11, 20, 17, 42, 4, 290790), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.5867346, 'Stop Loss', 'EURUSD-OTC', 17872.31, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 44, 4, 304725), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.62291914, 'Stop Loss', 'EURUSD-OTC', 17870.31, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 46, 4, 300515), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.6625968, 'Stop Loss', 'EURUSD-OTC', 17866.07, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 48, 4, 223846), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.71003616, 'Stop Loss', 'EURUSD-OTC', 17876.74, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 50, 4, 301202), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Put', 0.7360689, 'Stop Loss', 'EURUSD-OTC', 17874.74, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 52, 4, 198472), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.74749553, 'Stop Loss', 'EURUSD-OTC', 17878.93, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 17, 54, 4, 191635), 'equal', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.6995532, 'Stop Loss', 'EURUSD-OTC', 17878.93, 0.99, 0.82]
[datetime.datetime(2022, 11, 20, 18, 9, 4, 161865), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.57288903, 'Stop Loss', 'EURUSD-OTC', 17876.93, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 11, 4, 216517), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.59542817, 'Stop Loss', 'EURUSD-OTC', 17880.57, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 13, 4, 180656), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.87511194, 'Stop Loss', 'EURUSD-OTC', 17882.29, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 15, 4, 182989), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.816141, 'Stop Loss', 'EURUSD-OTC', 17880.29, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 17, 4, 198420), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.8603559, 'Stop Loss', 'EURUSD-OTC', 17883.92, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 19, 4, 186208), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.8114901, 'Stop Loss', 'EURUSD-OTC', 17881.92, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 21, 4, 143370), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.90631014, 'Stop Loss', 'EURUSD-OTC', 17885.56, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 23, 4, 147211), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.7614329, 'Stop Loss', 'EURUSD-OTC', 17883.56, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 18, 25, 4, 177167), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.86373144, 'Stop Loss', 'EURUSD-OTC', 17887.2, 0.86, 0.82]
